	sequences per sample	iteration	C3.110101	8.031003	2.071703	C11.092001	2.40301	7.051803	7.042002	7.070101	4.020701	7.030803	4.010402	4.011602	4.120403	C14.112902	4.112003	10.120602	2.062501	C11.120501	10.061303	8.111401	3.80403	3.052601	2.021503	8.050603	8.011403	7.112902.06.MC044	3.111301.MC026	7.010201.MC242	3.011101.MC225	C11.112101.MC085	C3.092002.MC079	C3.112902.MC078	C14.110102.MC102	2.051801.MC214	7.021304.MC295	10.100501.MC108	10.110901.MC063	2.081802.MC222	2.110501.MC018	7.100101.MC257	4.052802.MC029	7.081001.MC002	4.041101.MC293	7.111402.MC259	2.022002.06.MC210	3.70501.MC223	8.030605.MC276	8.040303.MC045	4.062101.MC043	8.121401.MC285
alpha_rarefaction_1750_2.txt	1750	2	80.0	54.0	62.0	75.0	58.0	27.0	40.0	50.0	58.0	28.0	76.0	61.0	76.0	75.0	43.0	53.0	46.0	48.0	27.0	23.0	28.0	27.0	43.0	42.0	40.0	70.0	42.0	29.0	76.0	129.0	81.0	56.0	82.0	39.0	56.0	25.0	34.0	36.0	48.0	80.0	105.0	50.0	75.0	35.0	39.0	14.0	40.0	41.0	79.0	30.0
alpha_rarefaction_1750_3.txt	1750	3	80.0	49.0	60.0	73.0	53.0	33.0	41.0	54.0	56.0	30.0	74.0	58.0	64.0	73.0	42.0	53.0	47.0	46.0	27.0	20.0	29.0	26.0	43.0	38.0	33.0	64.0	46.0	26.0	73.0	129.0	83.0	55.0	81.0	37.0	58.0	20.0	41.0	41.0	50.0	80.0	112.0	47.0	84.0	33.0	45.0	16.0	38.0	41.0	76.0	29.0
alpha_rarefaction_1750_4.txt	1750	4	82.0	49.0	58.0	79.0	52.0	32.0	34.0	50.0	52.0	26.0	71.0	61.0	67.0	77.0	47.0	55.0	44.0	48.0	29.0	23.0	23.0	21.0	42.0	39.0	36.0	65.0	45.0	30.0	73.0	136.0	80.0	55.0	83.0	35.0	54.0	24.0	40.0	39.0	56.0	79.0	113.0	48.0	77.0	37.0	38.0	14.0	37.0	44.0	83.0	29.0
alpha_rarefaction_1750_5.txt	1750	5	80.0	49.0	63.0	74.0	48.0	30.0	39.0	53.0	52.0	29.0	69.0	57.0	67.0	68.0	42.0	54.0	41.0	47.0	27.0	20.0	24.0	22.0	43.0	42.0	32.0	72.0	43.0	27.0	74.0	134.0	78.0	60.0	81.0	40.0	53.0	26.0	39.0	39.0	53.0	78.0	117.0	49.0	77.0	36.0	40.0	15.0	33.0	40.0	83.0	27.0
alpha_rarefaction_1750_6.txt	1750	6	86.0	50.0	58.0	79.0	46.0	30.0	44.0	45.0	60.0	28.0	72.0	60.0	67.0	71.0	42.0	56.0	45.0	51.0	24.0	24.0	24.0	24.0	45.0	38.0	31.0	62.0	45.0	30.0	71.0	128.0	82.0	59.0	80.0	38.0	58.0	25.0	44.0	38.0	56.0	76.0	110.0	45.0	76.0	31.0	42.0	16.0	36.0	44.0	77.0	27.0
alpha_rarefaction_1750_7.txt	1750	7	83.0	53.0	60.0	74.0	49.0	27.0	40.0	47.0	55.0	25.0	72.0	59.0	63.0	78.0	41.0	59.0	44.0	43.0	26.0	21.0	28.0	23.0	42.0	44.0	31.0	67.0	45.0	25.0	76.0	130.0	86.0	57.0	83.0	41.0	55.0	21.0	42.0	38.0	50.0	72.0	114.0	46.0	81.0	35.0	43.0	14.0	33.0	44.0	82.0	25.0
alpha_rarefaction_1750_8.txt	1750	8	83.0	50.0	57.0	75.0	51.0	32.0	38.0	50.0	56.0	26.0	65.0	59.0	77.0	78.0	47.0	56.0	45.0	45.0	26.0	21.0	24.0	25.0	40.0	41.0	30.0	70.0	46.0	27.0	73.0	129.0	79.0	53.0	82.0	38.0	53.0	25.0	40.0	39.0	53.0	84.0	110.0	43.0	76.0	36.0	40.0	15.0	36.0	40.0	80.0	28.0
alpha_rarefaction_1750_9.txt	1750	9	78.0	50.0	59.0	76.0	52.0	29.0	39.0	50.0	56.0	28.0	72.0	62.0	62.0	75.0	39.0	54.0	46.0	46.0	28.0	24.0	29.0	24.0	44.0	39.0	34.0	66.0	44.0	31.0	77.0	123.0	73.0	53.0	80.0	38.0	57.0	26.0	41.0	43.0	46.0	84.0	116.0	45.0	84.0	37.0	49.0	18.0	39.0	44.0	75.0	29.0
alpha_rarefaction_2330_0.txt	2330	0	92.0	56.0	66.0	77.0	60.0	34.0	42.0	52.0	63.0	28.0	78.0	61.0	68.0	73.0	50.0	58.0	46.0	53.0	28.0	23.0	27.0	25.0	47.0	41.0	39.0	77.0	43.0	35.0	75.0	152.0	86.0	63.0	94.0	36.0	61.0	24.0	47.0	42.0	54.0	83.0	120.0	50.0	86.0	36.0	47.0	19.0	38.0	43.0	88.0	35.0
alpha_rarefaction_2330_1.txt	2330	1	89.0	54.0	62.0	86.0	59.0	33.0	43.0	56.0	63.0	28.0	81.0	60.0	74.0	74.0	46.0	61.0	43.0	53.0	26.0	19.0	29.0	26.0	45.0	46.0	39.0	80.0	50.0	29.0	83.0	140.0	85.0	67.0	86.0	40.0	57.0	29.0	46.0	40.0	53.0	88.0	121.0	47.0	88.0	36.0	48.0	18.0	40.0	43.0	91.0	35.0
